omega,xi_mass,xi_spring,xi_combined
0.05,152616.8094899624,140938.3969197238,70921.22102315647
0.05954773869346734,107571.73774172782,99340.22550894176,49988.720205344536
0.06909547738693467,79872.26388361758,73760.34702682334,37116.74028202301
0.078643216080402,61633.85692986968,56917.56380378768,28641.329906194784
0.08819095477386935,48991.47780705178,45242.59397067418,22766.40061744643
0.09773869346733668,39869.64888833095,36818.77781911818,18527.475383443496
0.10728643216080402,33072.937250443036,30542.15831848214,15369.035039209906
0.11683417085427135,27873.374340715858,25740.471901178284,12952.79169369022
0.1263819095477387,23807.09584278386,21985.349678122173,11063.18702263653
0.135929648241206,20567.180690693556,18993.3565338705,9557.594425296964
0.14547738693467338,17943.989147387136,16570.894603480727,8338.594055346593
0.1550251256281407,15790.377642027757,14582.079910213359,7337.808112565823
0.16457286432160803,14000.605179075705,12929.262880277229,6506.098624925603
0.17412060301507537,12497.101616287307,11540.809127308248,5807.418650930785
0.18366834170854268,11221.918938073944,10363.204884054745,5214.839675726756
0.19321608040201005,10131.062839105478,9355.822339677607,4707.917490955954
0.20276381909547736,9190.646637314972,8487.367859724622,4270.904913351727
0.21231155778894473,8374.227466256194,7733.422016091179,3891.5139100166066
0.22185929648241204,7660.926928124907,7074.704049818847,3560.0422635458904
0.2314070351758794,7034.082883416785,6495.826827348481,3268.747057006286
0.24095477386934672,6480.267502473418,5984.390031883446,3011.3883612690943
0.25050251256281403,5988.562124842464,5530.310511339727,2782.892261253761
0.2600502512562814,5550.014941532511,5125.321459374058,2579.098840197783
0.2695979899497487,5157.230658407942,4762.593478204457,2396.571495726388
0.2791457286432161,4804.056669266347,4436.444766082191,2232.451104091623
0.2886934673366834,4485.340642672757,4142.117253858323,2084.343370472982
0.29824120603015075,4196.741536477582,3875.6020808865787,1950.2310071890438
0.30778894472361806,3934.5809941868943,3633.502362713103,1828.4046774060769
0.3173366834170854,3695.7255546431084,3412.9244142069047,1717.4082578302757
0.32688442211055274,3477.4925836199045,3211.390879376577,1615.9951250030251
0.33643216080402005,3277.574620499807,3026.77086712651,1523.09299910796
0.3459798994974874,3093.9781323818115,2857.2233919701557,1437.7754829286687
0.35552763819095473,2924.9736231288744,2701.151300790185,1359.2388774610645
0.36507537688442204,2769.0547536240065,2557.163521259275,1286.7831850455925
0.3746231155778894,2624.9046600185593,2424.043957454502,1219.7964574153507
0.3841708542713567,2491.36805712365,2300.725727929123,1157.7418321074208
0.3937185929648241,2367.4280185941216,2186.2697227033723,1100.1467421854989
0.4032663316582914,2252.1865588438272,2079.8466710737707,1046.5938926317979
0.41281407035175877,2144.8483216100904,1980.7220783472608,996.713680402682
0.4223618090452261,2044.7068198544612,1888.2435186804742,950.1778000934498
0.43190954773869344,1951.1327809117768,1801.8298720712971,906.6938279146183
0.44145728643216076,1863.5642366652708,1720.9621728450975,866.0006165839819
0.45100502512562807,1781.4980664119892,1645.1757996697406,827.8643652856622
0.46055276381909543,1704.482754046115,1574.053786967516,792.0752539241983
0.47010050251256275,1632.1121643058414,1507.2210774107093,758.4445509387339
0.4796482412060301,1564.0201774524628,1444.3395671611765,726.8021200317247
0.4891959798994974,1499.8760496838204,1385.1038213102518,696.9942641473001
0.4987437185929648,1439.3803892228145,1329.2373578815636,668.8818555545952
0.5082914572864321,1382.2616564489626,1276.4894157765211,642.338709454536
0.5178391959798995,1328.2731115027855,1226.6321359515025,617.2501655278052
0.5273869346733668,1277.1901451532628,1179.4580965303767,593.5118475856309
0.5369346733668341,1228.8079389010954,1134.7781519593407,571.0285762168662
0.5464824120603015,1182.9394087100122,1092.4195340862523,549.7134132373708
0.5560301507537688,1139.4133937447928,1052.2241794984905,529.4868199943206
0.5655778894472362,1098.0730573119372,1014.0472528254693,510.2759142813491
0.5751256281407036,1058.774472058629,977.7558401997937,492.01381287874756
0.5846733668341708,1021.3853655584255,943.2277908321644,474.63904862557615
0.5942211055276382,985.7840058358271,910.3506878168806,458.09505252154696
0.6037688442211055,951.8582092686241,879.0209319506323,442.32969269801134
0.6133165829145728,919.5044557477855,849.1429246013648,427.29486323166066
0.6228643216080402,888.6270980443504,820.6283375753187,412.9461167363382
0.6324120603015075,859.1376540923989,793.3954595553163,399.2423354860566
0.6419597989949749,830.9541723970643,767.3686100684773,386.14543651931234
0.6515075376884422,804.000662058307,742.4776131252243,373.6201067704246
0.6610552763819095,778.2065799991299,718.6573236853816,361.6335647838511
0.6706030150753769,753.5063689297245,695.847200977832,350.1553460055512
0.6801507537688442,729.8390403904066,673.990923449482,339.1571090225206
0.6896984924623115,707.147797916073,653.036040765608,328.6124604468466
0.6992462311557789,685.3796959698818,632.9336588423174,318.4967964217645
0.7087939698492463,664.4853308178673,613.6381543757931,308.78715897070754
0.7183417085427135,644.4185599710818,595.1069157530422,299.4621056217217
0.7278894472361809,625.136247217424,577.3001075941808,290.5015909234392
0.7374371859296482,606.5980306100348,560.1804564946217,281.88685862899774
0.7469849246231155,588.7661110800702,543.7130558134404,273.6003434641336
0.7565326633165829,571.6050596048635,527.865187597249,265.62558151798663
0.7660804020100502,555.0816410930994,512.6061599418788,257.9471284023224
0.7756281407035176,539.1646533510082,497.9071582810638,250.55048441892185
0.7851758793969849,523.8247796715373,483.7411092556589,243.42202605758644
0.7947236180904522,509.03445374513956,470.08255596160757,236.54894322001368
0.8042713567839196,494.7677357290249,456.9075435025168,229.91918162902414
0.813819095477387,481.0001984338025,444.19351388542685,223.52138993935293
0.8233668341708542,467.7088226944557,431.919209398119,217.34487111641138
0.8329145728643216,454.87190108828815,420.06458369467447,211.37953769389728
0.842462311557789,442.4689492474065,408.61071989442667,205.61587056059517
0.8520100502512562,430.48062408875154,397.53975506912445,200.04488096177016
0.8615577889447236,418.88864835183824,386.83481055513005,194.65807543176223
0.8711055276381909,407.6757408941867,376.4799275827234,189.44742340218608
0.8806532663316583,396.82555224779674,366.46000776386916,184.40532725494504
0.8902010050251256,386.3226049877022,356.7607580238366,179.52459461142382
0.8997487437185929,376.1522385062866,347.36863960144825,174.79841266904464
0.9092964824120603,366.3005578252352,338.270820778,170.2203244141178
0.9188442211055275,356.75438611124576,329.45513302652347,165.78420655583315
0.9283919597989949,347.5012205923591,320.9100303014496,161.48424904052433
0.9379396984924623,338.5291915994041,312.62455121424904,157.3149360181775
0.9474874371859296,329.82702448190616,304.58828386357845,153.2710281447063
0.9570351758793969,321.384004170202,296.7913331091433,149.34754611392282
0.9665829145728643,313.18994217569406,289.22429009713,145.53975532251488
0.9761306532663316,305.23514583940505,281.8782038618965,141.8431515798108
0.9856783919597989,297.5103896554574,274.74455484381167,138.253447781765
0.9952261306532663,290.0068885110036,267.8152301768969,134.76656147552026
1.0047738693467336,282.7162726976214,261.0825006123776,131.37860324717184
1.0143216080402009,275.63056456140725,254.53899895553857,128.0858658710372
1.0238693467336681,268.74215667009696,248.17769990352093,124.88481416388954
1.0334170854271356,262.04379138560887,241.99190118099838,121.77207549229347
1.0429648241206029,255.52854173956013,235.9752058791201,118.74443088543346
1.0525125628140704,249.18979351762707,230.12150591079683,115.79880670969402
1.0620603015075376,243.02122846621174,224.42496650241216,112.93226686477661
1.0716080402010049,237.01680854177215,218.8800116484121,110.14200546434397
1.0811557788944723,231.17076112948706,213.48131046105468,107.42533996711516
1.0907035175879396,225.47756516367045,208.22376435290593,104.779704727005
1.100251256281407,219.93193808760722,203.10249499452394,102.2026449333435
1.1097989949748743,214.5288235952911,198.11283299421297,99.69181091444615
1.1193467336683416,209.26338010193442,193.2503072507831,97.24495277984566
1.128894472361809,204.13096989415524,188.51063493397712,94.8599153783702
1.1384422110552763,199.12714891442988,183.88971205062882,92.53463355096608
1.1479899497487436,194.24765713778763,179.38360455774375,90.2671276587355
1.157537688442211,189.4884095018304,174.98853998656418,88.05549936810573
1.1670854271356783,184.84548735401407,170.70089954431424,85.89792767636983
1.1766331658291456,180.3151303827483,166.5172106627413,83.792665162059
1.186180904522613,175.893729001289,162.4341399648015,81.73803444572765
1.1957286432160803,171.57781715561552,158.44848662288655,79.73242484776526
1.2052763819095476,167.36406552952866,154.5571760838753,77.77428923079677
1.214824120603015,163.24927512209624,150.7572541380406,75.86214101511366
1.2243718592964823,159.2303711743069,147.0458813104424,73.99455135638247
1.2339195979899498,155.30439742339962,143.4203275549226,72.17014647562445
1.243467336683417,151.46851066482074,139.87796723218722,70.38760513215033
1.2530150753768843,147.71997560312522,136.41627435472282,68.6456562307677
1.2625628140703518,144.05615997441092,133.0328180824674,66.94307655517022
1.272110552763819,140.4745299240425,129.7252584542363,65.27868861996009
1.2816582914572863,136.97264562450744,126.49134234090491,63.651358634260305
1.2912060301507537,133.54815711925303,123.32889960727981,62.059994570340585
1.300753768844221,130.19880037928274,120.23583947044911,60.50354433111281
1.3103015075376883,126.92239356015524,117.21014704320012,58.98099401075376
1.3198492462311557,123.71683344783072,114.24988005183347,57.49136624308553
1.329396984924623,120.58009208255349,111.35316571839019,56.03371863268953
1.3389447236180905,117.51021355065038,108.51819779794525,54.607142264051305
1.3484924623115577,114.505310934769,105.74323376221717,53.210760284332345
1.358040201005025,111.56356341367423,103.02659212129142,51.84372655564201
1.3675879396984925,108.68321350328097,100.36664987577228,50.50522437294199
1.3771356783919597,105.86256443111627,97.76184009215442,49.194465243955534
1.386683417085427,103.09997763688618,95.21064959464898,47.91068772767787
1.3962311557788945,100.39387039227302,92.71161676711688,46.65315632829295
1.4057788944723617,97.7427135335074,90.26332945914682,45.42116044149687
1.415326633165829,95.14502930064793,87.86442299067598,44.214013350408514
1.4248743718592964,92.59938927786942,85.51357824988949,43.031051268418835
1.4344221105527637,90.10441242939808,83.2095198794483,41.87163242648758
1.443969849246231,87.65876322605084,80.95101454638778,40.73513620254376
1.4535175879396984,85.26114985763408,78.73686929130577,39.62096229078509
1.4630653266331657,82.91032252673416,76.56592995271411,38.528529908800344
1.4726130653266332,80.60507181969008,74.43707966266645,37.457277040558374
1.4821608040201004,78.34422715078661,72.3492374100035,36.40665971342264
1.4917085427135677,76.12665527592783,70.30135666776181,35.37615130745352
1.5012562814070352,73.95125887226924,68.29242408149423,34.36524189536154
1.5108040201005024,71.81697518048396,66.32145821543143,33.37343761156686
1.5203517587939697,69.72277470652539,64.38750835358702,32.40026004890668
1.5298994974874371,67.66765997992634,62.48965335307323,31.44524568161537
1.5394472361809044,65.65066436583804,60.62700054704392,30.50794531327749
1.5489949748743717,63.67085092816624,58.79868469482487,29.587923548525733
1.5585427135678391,61.72731134130961,57.00386697692723,28.684758287324424
1.5680904522613064,59.819164848139025,55.24173403276328,27.79804024074114
1.5776381909547739,57.94555726198589,53.51149703900393,26.927372467169526
1.5871859296482411,56.105660010529,51.81239082662832,26.07236992802226
1.5967336683417084,54.298669219580205,50.14367303481931,25.232659061965162
1.6062814070351759,52.52380483487849,48.50462329995886,24.407877376813776
1.6158291457286431,50.780309780100865,46.89454247806888,23.597673058260018
1.6253768844221104,49.06744914939228,45.31275189912972,22.801704594639787
1.6349246231155778,47.38450943280797,43.758592651792505,22.019640416995095
1.644472361809045,45.73079777314317,42.23142489707712,21.25115855372189
1.6540201005025124,44.10564125270467,40.73062720972077,20.495946299131916
1.6635678391959798,42.50838620865433,39.25559594591229,19.753699895292
1.673115577889447,40.93839757562331,37.80574463621017,19.02412422653607
1.6826633165829143,39.39505825436257,36.38050340250473,18.30693252607623
1.6922110552763818,37.87776850525805,34.97931839794213,17.60184609416855
1.701758793969849,36.38594536559771,33.60165126878291,16.908594027316322
1.7113065326633166,34.919022089532795,32.24697863721793,16.226912958019327
1.7208542713567838,33.47644760972942,30.914791604215093,15.55654680460273
1.730402010050251,32.05768601975527,29.60459527151436,14.897246530681468
1.7399497487437185,30.662216076293817,28.315908281933105,14.248769913838611
1.7494974874371858,29.289530720322947,27.048262377184727,13.61088132311648
1.759045226130653,27.93913661643633,25.80120197245163,12.983351504938692
1.7685929648241205,26.61055370952661,24.574283746991558,12.36595737710031
1.7781407035175878,25.30331479808639,23.367076250090065,11.758481830480264
1.787688442211055,24.01696512341868,22.17915952170505,11.160713538146945
1.7972361809045225,22.75106197408297,21.010124727181054,10.572446771543802
1.8067839195979898,21.50517430493419,19.859573805439844,9.993481223456277
1.816331658291457,20.278882370142497,18.727119130081853,9.423621837475629
1.8258793969849245,19.071777369610725,17.61238318286026,8.862678643688696
1.8354271356783918,17.88346110823352,16.514998239013963,8.310466600335195
1.8449748743718593,16.713545667467354,15.434606063969449,7.766805441185896
1.8545226130653265,15.561653088706478,14.370857620945145,7.231519528407025
1.8640703517587938,14.427415067981498,13.323412789012046,6.704437710686321
1.8736180904522612,13.310472661520802,12.291940091185907,6.185393186407064
1.8831658291457285,12.210476001735065,11.276116432144939,5.674223371665727
1.8927135678391958,11.127084023205148,10.275626845185405,5.1707697729382005
1.9022613065326632,10.059964198273077,9.290164248045514,4.6748778642085975
1.9118090452261305,9.00879228185319,8.319429207243886,4.186396968382684
1.9213567839195977,7.973252065097647,7.363129710594872,3.70518014281592
1.9309045226130652,6.953035137567429,6.42098094757849,3.2310840687940416
1.9404522613065325,5.947840657574329,5.492705097256114,2.7639689448106886
1.95,4.9573751303748965,4.578031123437271,2.3036983834938622
